id,title,abstract,categories,year,period
1501.00037,Discriminative Clustering with Relative Constraints,"  We study the problem of clustering with relative constraints, where each
constraint specifies relative similarities among instances. In particular, each
constraint $(x_i, x_j, x_k)$ is acquired by posing a query: is instance $x_i$
more similar to $x_j$ than to $x_k$? We consider the scenario where answers to
such queries are based on an underlying (but unknown) class concept, which we
aim to discover via clustering. Different from most existing methods that only
consider constraints derived from yes and no answers, we also incorporate don't
know responses. We introduce a Discriminative Clustering method with Relative
Constraints (DCRC) which assumes a natural probabilistic relationship between
instances, their underlying cluster memberships, and the observed constraints.
The objective is to maximize the model likelihood given the constraints, and in
the meantime enforce cluster separation and cluster balance by also making use
of the unlabeled instances. We evaluated the proposed method using constraints
generated from ground-truth class labels, and from (noisy) human judgments from
a user study. Experimental results demonstrate: 1) the usefulness of relative
constraints, in particular when don't know answers are considered; 2) the
improved performance of the proposed method over state-of-the-art methods that
utilize either relative or pairwise constraints; and 3) the robustness of our
method in the presence of noisy constraints, such as those provided by human
judgement.
",['cs.LG'],2015,growth
1501.00358,Comprehend DeepWalk as Matrix Factorization,"  Word2vec, as an efficient tool for learning vector representation of words
has shown its effectiveness in many natural language processing tasks. Mikolov
et al. issued Skip-Gram and Negative Sampling model for developing this
toolbox. Perozzi et al. introduced the Skip-Gram model into the study of social
network for the first time, and designed an algorithm named DeepWalk for
learning node embedding on a graph. We prove that the DeepWalk algorithm is
actually factoring a matrix M where each entry M_{ij} is logarithm of the
average probability that node i randomly walks to node j in fix steps.
",['cs.LG'],2015,growth
1501.00687,"On Enhancing The Performance Of Nearest Neighbour Classifiers Using
  Hassanat Distance Metric","  We showed in this work how the Hassanat distance metric enhances the
performance of the nearest neighbour classifiers. The results demonstrate the
superiority of this distance metric over the traditional and most-used
distances, such as Manhattan distance and Euclidian distance. Moreover, we
proved that the Hassanat distance metric is invariant to data scale, noise and
outliers. Throughout this work, it is clearly notable that both ENN and IINC
performed very well with the distance investigated, as their accuracy increased
significantly by 3.3% and 3.1% respectively, with no significant advantage of
the ENN over the IINC in terms of accuracy. Correspondingly, it can be noted
from our results that there is no optimal algorithm that can solve all
real-life problems perfectly; this is supported by the no-free-lunch theorem
",['cs.LG'],2015,growth
1501.00728,"Differential Search Algorithm-based Parametric Optimization of Fuzzy
  Generalized Eigenvalue Proximal Support Vector Machine","  Support Vector Machine (SVM) is an effective model for many classification
problems. However, SVM needs the solution of a quadratic program which require
specialized code. In addition, SVM has many parameters, which affects the
performance of SVM classifier. Recently, the Generalized Eigenvalue Proximal
SVM (GEPSVM) has been presented to solve the SVM complexity. In real world
applications data may affected by error or noise, working with this data is a
challenging problem. In this paper, an approach has been proposed to overcome
this problem. This method is called DSA-GEPSVM. The main improvements are
carried out based on the following: 1) a novel fuzzy values in the linear case.
2) A new Kernel function in the nonlinear case. 3) Differential Search
Algorithm (DSA) is reformulated to find near optimal values of the GEPSVM
parameters and its kernel parameters. The experimental results show that the
proposed approach is able to find the suitable parameter values, and has higher
classification accuracy compared with some other algorithms.
",['cs.LG'],2015,growth
1501.01242,Efficient Online Relative Comparison Kernel Learning,"  Learning a kernel matrix from relative comparison human feedback is an
important problem with applications in collaborative filtering, object
retrieval, and search. For learning a kernel over a large number of objects,
existing methods face significant scalability issues inhibiting the application
of these methods to settings where a kernel is learned in an online and timely
fashion. In this paper we propose a novel framework called Efficient online
Relative comparison Kernel LEarning (ERKLE), for efficiently learning the
similarity of a large set of objects in an online manner. We learn a kernel
from relative comparisons via stochastic gradient descent, one query response
at a time, by taking advantage of the sparse and low-rank properties of the
gradient to efficiently restrict the kernel to lie in the space of positive
semidefinite matrices. In addition, we derive a passive-aggressive online
update for minimally satisfying new relative comparisons as to not disrupt the
influence of previously obtained comparisons. Experimentally, we demonstrate a
considerable improvement in speed while obtaining improved or comparable
accuracy compared to current methods in the online learning setting.
",['cs.LG'],2015,growth
1501.01348,"Deep Autoencoders for Dimensionality Reduction of High-Content Screening
  Data","  High-content screening uses large collections of unlabeled cell image data to
reason about genetics or cell biology. Two important tasks are to identify
those cells which bear interesting phenotypes, and to identify sub-populations
enriched for these phenotypes. This exploratory data analysis usually involves
dimensionality reduction followed by clustering, in the hope that clusters
represent a phenotype. We propose the use of stacked de-noising auto-encoders
to perform dimensionality reduction for high-content screening. We demonstrate
the superior performance of our approach over PCA, Local Linear Embedding,
Kernel PCA and Isomap.
",['cs.LG'],2015,growth
1501.02411,"A Gaussian Particle Filter Approach for Sensors to Track Multiple Moving
  Targets","  In a variety of problems, the number and state of multiple moving targets are
unknown and are subject to be inferred from their measurements obtained by a
sensor with limited sensing ability. This type of problems is raised in a
variety of applications, including monitoring of endangered species, cleaning,
and surveillance. Particle filters are widely used to estimate target state
from its prior information and its measurements that recently become available,
especially for the cases when the measurement model and the prior distribution
of state of interest are non-Gaussian. However, the problem of estimating
number of total targets and their state becomes intractable when the number of
total targets and the measurement-target association are unknown. This paper
presents a novel Gaussian particle filter technique that combines Kalman filter
and particle filter for estimating the number and state of total targets based
on the measurement obtained online. The estimation is represented by a set of
weighted particles, different from classical particle filter, where each
particle is a Gaussian distribution instead of a point mass.
",['cs.LG'],2015,growth
1501.02432,"Learning a Fuzzy Hyperplane Fat Margin Classifier with Minimum VC
  dimension","  The Vapnik-Chervonenkis (VC) dimension measures the complexity of a learning
machine, and a low VC dimension leads to good generalization. The recently
proposed Minimal Complexity Machine (MCM) learns a hyperplane classifier by
minimizing an exact bound on the VC dimension. This paper extends the MCM
classifier to the fuzzy domain. The use of a fuzzy membership is known to
reduce the effect of outliers, and to reduce the effect of noise on learning.
Experimental results show, that on a number of benchmark datasets, the the
fuzzy MCM classifier outperforms SVMs and the conventional MCM in terms of
generalization, and that the fuzzy MCM uses fewer support vectors. On several
benchmark datasets, the fuzzy MCM classifier yields excellent test set
accuracies while using one-tenth the number of support vectors used by SVMs.
",['cs.LG'],2015,growth
1501.02702,Max-Cost Discrete Function Evaluation Problem under a Budget,"  We propose novel methods for max-cost Discrete Function Evaluation Problem
(DFEP) under budget constraints. We are motivated by applications such as
clinical diagnosis where a patient is subjected to a sequence of (possibly
expensive) tests before a decision is made. Our goal is to develop strategies
for minimizing max-costs. The problem is known to be NP hard and greedy methods
based on specialized impurity functions have been proposed. We develop a broad
class of \emph{admissible} impurity functions that admit monomials, classes of
polynomials, and hinge-loss functions that allow for flexible impurity design
with provably optimal approximation bounds. This flexibility is important for
datasets when max-cost can be overly sensitive to ""outliers."" Outliers bias
max-cost to a few examples that require a large number of tests for
classification. We design admissible functions that allow for accuracy-cost
trade-off and result in $O(\log n)$ guarantees of the optimal cost among trees
with corresponding classification accuracy levels.
",['cs.LG'],2015,growth
1501.03084,Deep Learning with Nonparametric Clustering,"  Clustering is an essential problem in machine learning and data mining. One
vital factor that impacts clustering performance is how to learn or design the
data representation (or features). Fortunately, recent advances in deep
learning can learn unsupervised features effectively, and have yielded state of
the art performance in many classification problems, such as character
recognition, object recognition and document categorization. However, little
attention has been paid to the potential of deep learning for unsupervised
clustering problems. In this paper, we propose a deep belief network with
nonparametric clustering. As an unsupervised method, our model first leverages
the advantages of deep learning for feature representation and dimension
reduction. Then, it performs nonparametric clustering under a maximum margin
framework -- a discriminative clustering model and can be trained online
efficiently in the code space. Lastly model parameters are refined in the deep
belief network. Thus, this model can learn features for clustering and infer
model complexity in an unified framework. The experimental results show the
advantage of our approach over competitive baselines.
",['cs.LG'],2015,growth
